productID,title,sellerID,price,createdAtProduct
12,Critters 2: The Main Course,12,6,10/24/2024
13,Inserts,13,29,7/27/2024
14,G Men,14,13,4/4/2024
15,Friends & Lovers,15,76,2/24/2024
16,West of the Divide,16,16,4/13/2024
17,"Sin of Madelon Claudet, The",17,22,5/23/2024
18,Dr Money and the Boy with No Penis,18,29,5/1/2024
19,Last Stop for Paul,19,62,11/2/2024
20,Move (3 Zimmer/Küche/Bad),20,3,10/7/2024
21,Lady Liberty,21,50,1/28/2024
22,"Robe, The",22,55,12/3/2023
23,"Wizard of Oz, The",23,71,1/7/2024
24,Meet the Robinsons,24,49,5/9/2024
25,"Sunset Limited, The",25,71,12/24/2023
26,Bad Johnson,26,17,5/18/2024
27,Poison,27,70,9/25/2024
28,"Man from Snowy River, The",28,96,3/4/2024
29,Cheers for Miss Bishop,29,6,4/2/2024
30,Morituri,30,7,2/23/2024
31,Kamikaze Girls (Shimotsuma monogatari),31,79,12/11/2023
32,Milka - A Film About Taboos (Milka - elokuva tabuista),32,59,11/30/2023
33,Bridge to Terabithia,33,23,3/11/2024
34,Samaritan Zatoichi (Zatôichi kenka-daiko) (Zatôichi 19),34,50,8/3/2024
35,"Perfect Crime, The (Crimen Ferpecto) (Ferpect Crime)",35,2,3/3/2024
36,Lucky Luke: The Ballad of the Daltons,36,79,11/30/2023
37,Three Days (Tres días),37,31,11/12/2023
38,Village of the Giants,38,44,12/11/2023
39,"Dark Horse, The",39,46,11/1/2024
40,"Classe américaine, La (a.k.a. Le grand détournement)",40,64,9/28/2024
41,Black Bread (Pa Negre),41,60,4/30/2024
42,Love Is All You Need (Den skaldede frisør),42,55,7/6/2024
43,Firewalker,43,81,6/16/2024
44,Jesus,44,43,12/14/2023
45,Of Human Bondage,45,79,6/18/2024
46,Take This Waltz,46,5,11/5/2023
47,If Lucy Fell,47,81,5/5/2024
48,Yumurta (Egg),48,59,6/21/2024
49,Crumb,49,7,10/11/2024
50,Asterix in America (a.k.a Asterix Conquers America) (Astérix et les Indiens),50,2,11/5/2023
51,Jauja,51,54,3/3/2024
52,Close to Leo (Tout contre Léo),52,9,5/29/2024
53,"Twelve Chairs, The",53,91,8/20/2024
54,Morphia (Morfiy),54,63,8/17/2024
55,Superbad,55,1,12/3/2023
56,Ivanhoe,56,67,6/29/2024
57,1900 (Novecento),57,55,1/9/2024
58,Shanghai Surprise,58,75,7/25/2024
59,Dracula: Prince of Darkness,59,12,5/7/2024
60,Golden Door (Nuovomondo),60,69,3/21/2024
61,Brink of Life (Nära livet),61,32,5/25/2024
62,Carmen Comes Home (Karumen kokyo ni kaeru),62,83,1/18/2024
63,Super 8,63,32,9/30/2024
64,Wish You Were Here,64,12,10/16/2024
65,Czech Dream (Ceský sen),65,40,8/21/2024
66,Frankenstein 90,66,40,1/27/2024
67,Billabong Odyssey,67,13,5/15/2024
68,Black Orpheus (Orfeu Negro),68,30,11/24/2023
69,You're Telling Me!,69,64,1/29/2024
70,Our Daily Bread (Unser täglich Brot),70,95,2/9/2024
71,"Marva Collins Story, The",71,26,4/24/2024
72,Lazybones,72,74,8/18/2024
73,Newlyweds,73,6,1/6/2024
74,"Place Promised in Our Early Days, The (Kumo no mukô, yakusoku no basho)",74,23,9/27/2024
75,Jekyll,75,3,9/14/2024
76,All Dogs Go to Heaven 2,76,58,6/19/2024
77,Yamakasi - Les samouraïs des temps modernes,77,38,4/17/2024
78,Facing the Truth (At kende sandheden),78,49,3/18/2024
79,Adrift (À Deriva),79,69,6/24/2024
80,"Brood, The",80,63,9/22/2024
81,From Hell It Came,81,44,7/6/2024
82,"Snows of Kilimanjaro, The (Neiges du Kilimandjaro, Les)",82,42,2/17/2024
83,Garfield Gets Real,83,53,2/8/2024
84,Grand Canyon,84,76,6/6/2024
85,To Be or Not to Be,85,62,10/31/2024
86,Stardom,86,75,10/7/2024
87,Jane Eyre,87,57,11/15/2023
88,"Car 54, Where Are You?",88,9,9/1/2024
89,Guarding Tess,89,8,9/1/2024
90,Water for Elephants,90,92,4/17/2024
